text,airline_sentiment,airline_sentiment_confidence,cleaned_text,label
@SouthwestAir  thanks for adding passbook ability! Hopefully we can do group passbook tickets in the future somehow.,positive,1.0,thanks adding passbook ability hopefully group passbook ticket future somehow,1
@SouthwestAir yep. 99.99999999% certain it was on that flight.,negative,1.0,yep certain flight,-1
@SouthwestAir they arrived Late Flight but pilots got us to DIA on time. #impressive #outstanding #greatservice #allgood,positive,1.0,arrived late flight pilot got u did time impressive outstanding greatservice allgood,1
"@SouthwestAir I never got an email confirmation for my ticket, but the credit card was charged.  Phone wait time is crazy. Is there a chat?",negative,1.0,never got email confirmation ticket credit card charged phone wait time crazy chat,-1
"@SouthwestAir res chg online/app no work, still on hold, faster for hubby to DRIVE to airport to make change @ counter #fail",negative,1.0,re ch online pp work still hold faster hobby drive airport make change counter fail,-1
@SouthwestAir Can my wife's RR points be transferred to my RR account?,neutral,1.0,wife or point transferred or account,0
@SouthwestAir my friends from Boston stuck in Denver. Her name Jane. @RnCahill  Please contact her.,negative,0.6939,friend boston stuck denver name jane please contact,-1
"@SouthwestAir I did, but no one can find the bag and we need everything in it in the next two hours.",negative,1.0,one find bag need everything next two hour,-1
@SouthwestAir Wasn't able to sit in my seat since the guy next to me was using it. #worstflightever #ideserveareward http://t.co/l7hSnLgie2,negative,1.0,able sit seat since guy next using worstflightever ideserveareward,-1
@SouthwestAir Glad to know I'll be flying the luv airline tomorrow ;),positive,1.0,glad know flying lui airline tomorrow,1
@SouthwestAir yes we did file a report and were treated rather rudely at midway baggage claim. Now we wait 2 days to get our luggage.,negative,1.0,yes file report treated rather rudely midway baggage claim wait day get luggage,-1
@SouthwestAir I would still have my companion pass if your ridiculous airline hadn't stopped partnering with Hilton Hotels - GENIUS!!!,negative,1.0,would still companion pas ridiculous airline stopped bartering hilton hotel genius,-1
@SouthwestAir Just got companion pass and trying to add companion flgt but get purchase.error.INVALID_LOYALTY_MEMBER_ACCOUNT_STATUS. Help!,negative,0.7022,got companion pas trying add companion flat get purchase error invalid loyalty member account status help,-1
@SouthwestAir I did. Still haven't heard a thing.,negative,0.7113,still heard thing,-1
@SouthwestAir thank you for great customer service. Trying to make it to San Antonio and your staff and alerts have been helpful. Boo ice!,positive,1.0,thank great customer service trying make san antonio staff alert helpful too ice,1
"@SouthwestAir open seating is like an open marriage, there's so much love for strangers!",positive,0.6859,open seating like open marriage much love stranger,1
@SouthwestAir I hope this isn't a real life scene out of the movie 'Flight' .....,negative,0.66,hope real life scene movie flight,-1
@SouthwestAir : thanks.are flights operating now or Cancelled Flightled?,neutral,1.0,thanks flight operating canceled lighted,0
@SouthwestAir we checked in right at 24hr mark. Boarding C group with kids ages 6&amp;8 dnt want to be split. What sld we do?,neutral,1.0,checked right he mark boarding c group kid age amp dint want split old,0
@SouthwestAir @LukeWyckoff: her name is Jane and she wanted was a call. 617-653-3040,negative,0.7119,name jane wanted call,-1
"@SouthwestAir @matthewebel And this is why I love flying Southwest. Excellent service, and you don't take yourselves too seriously!",positive,1.0,love flying southwest excellent service take seriously,1
@SouthwestAir @coachGS what's even better is the price changed in the 2 minutes since I talked to the lady and they still honored the cheap1,positive,1.0,even better price changed minute since talked lady still honored cheap,1
@SouthwestAir : Hello..are flights taking off from @DallasLoveField airport this noon. Am supposed to travel on flight 376 to San antonio,neutral,0.6925,hello flight taking airport noon supposed travel flight san antonio,0
@SouthwestAir We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3),neutral,1.0,invite fallow learn activity prevention program health london rico family r c,0
"@SouthwestAir unveils 4 new #flights, including 2 from #Ohio http://t.co/grkBj7bxlk",neutral,0.6681,unveils new flight including ohio,0
@SouthwestAir to start daily #B737-700 flights from #Washington Reagan to #FtLauderdale on 8AUG #avgeek,neutral,1.0,start daily b flight washington began ftlauderdale aug avgeek,0
@SouthwestAir to end its daily #B737-700 flights from #Washington Reagan to #FtMyers on 8AUG #avgeek,neutral,1.0,end daily b flight washington began ftmyers aug avgeek,0
@SouthwestAir to start 2xdaily #B737-700 flights from #OrangeCounty to #Portland OR on 8AUG #avgeek,neutral,1.0,start daily b flight orangecounty poland aug avgeek,0
@SouthwestAir to start daily #B737-700 flights from #Columbus OH to #Oakland on 8AUG #avgeek,neutral,1.0,start daily b flight columbus oh oakland aug avgeek,0
@SouthwestAir to start 2xdaily #B737-700 flights from #Columbus OH to #Boston @BostonLogan on 8AUG #avgeek,neutral,1.0,start daily b flight columbus oh boston aug avgeek,0
"@SouthwestAir Password reset email is incredibly slow to arrive today. Checked spam folder, too. Web site says a few minutes, but 15? :|",negative,1.0,password rest email incredibly slow arrive today checked spasm older web site say minute,-1
"@SouthwestAir @ClinicPolly 
Thank you-- I may have already responded but was 8UXZJ2",neutral,1.0,thank may already responded uxzj,0
@SouthwestAir I've had TERRIBLE service in three airports in 10 hours. Glad they don't care we kind of need to be home. #SellMyPointsSoon,negative,1.0,terrible service three airport hour glad care kind need home sellmypointssoon,-1
@SouthwestAir Thanks! Confirmation number just DMed. Appreciate any help!,positive,0.6487,thanks confirmation number died appreciate help,1
@SouthwestAir on hold for 15+ min...no estimated answer time. Any help here?,negative,1.0,hold min estimated answer time help,-1
@SouthwestAir I'm going to start charging you for the consistent body pat downs. Starting to feel like a piece of meat. #punishedforflying,negative,1.0,going start charging consistent body pat down starting feel like piece meat punishedforflying,-1
@SouthwestAir What's up with the wait times on your customer service line? Tried 2X on Fri. and now I've been on for over 15 min.,negative,1.0,wait time customer service line tried x fro min,-1
@SouthwestAir Can you equip a 737 with flamethrowers and a snow plow?,neutral,0.6692,equip flamethrower snow plow,0
"@SouthwestAir unveils 4 new routes, including  2 from #Ohio http://t.co/4uRzvBPJKO via @usatoday",neutral,0.6424,unveils new route including ohio via,0
@SouthwestAir flight 1028 no delayed 1.5 hours.  Another week another delayed flight,negative,1.0,flight delayed hour another week another delayed flight,-1
@SouthwestAir thanks for linking to #Passbook. Might be old news but this is my first 2015 flight.,neutral,0.6648,thanks linking passbook might old news first flight,0
@SouthwestAir didn't realize no clothes until at hotel - suggestions?,neutral,0.6776,realize clothes hotel suggestion,0
@SouthwestAir may want to direct that to the people at @FurryFiesta tok,neutral,1.0,may want direct people to,0
@SouthwestAir bag in possession but no clothes in bag??,negative,1.0,bag possession clothes bag,-1
"@SouthwestAir, you're really going to let @delta and @virginamerica get the best of you? http://t.co/vUdWJm1lYB",negative,0.6817,really going let get best,-1
"@SouthwestAir Please get back with my about my airtran credit Q4VNMB, I call and I'm being told that I will, but I never get email/call back",negative,1.0,please get back airtran credit q limb call told never get email call back,-1
@SouthwestAir is there a link to a site that displays any delays or Cancelled Flightations of flights to and from @DallasLoveField?,neutral,1.0,link site display delay canceled flightations flight,0
@SouthwestAir pleaseeee resume direct flights from FLL to PHL. I don't want to fly with anyone else 😩😫😢,negative,0.6816,please resume direct flight all pal want fly anyone else,-1
@SouthwestAir what to do when you show up to your destination with no clothes in your suitcase? #nakedmeetings #awkward,negative,1.0,show destination clothes suitcase nakedmeetings awkward,-1
@SouthwestAir Are there discounts every tuesday cause Im leaving fron Birmingham Airport to San fran Next week in march sometime,neutral,1.0,discount every tuesday cause in leaving from birmingham airport san ran next week march sometime,0
@southwestair does anyone realize that banning peanuts on a flight due to an allergic person ignores p-nut oil &amp; dust from previous flights?,negative,1.0,anyone realize banking peanuts flight due allergic person ignores p nut oil amp dust previous flight,-1
@SouthwestAir customer service is rude and bothered by our calls. Has no idea what is going on and sighed heavily on the phone. Unbelievable,negative,1.0,customer service rude gathered call idea going sighed heavily phone unbelievable,-1
"@SouthwestAir @nelsjeff, 3.5 hrs. Late Flightr (no human interaction), ended up $'ing a completely new flight - so last flight out didn't sell out.",negative,1.0,he late flight human interaction ended ing completely new flight last flight sell,-1
@SouthwestAir loses baggage a day ago and still has no idea or interest in finding it? ALL items for new job in that bag! Unacceptable.,negative,1.0,loses baggage day ago still idea interest finding item new job bag unacceptable,-1
"@SouthwestAir 
How do I get a companion pass??? Thanks,  Lin S",neutral,1.0,get companion pas thanks in,0
@SouthwestAir  Just sent DM. Thanks for your attentiveness to this matter.,positive,0.6675,sent do thanks attentiveness matter,1
@SouthwestAir how about fixing the wifi!  3rd flight where it's not working. 800 series plane so not like it's an old plane.,negative,1.0,fixing wife rd flight working series plane like old plane,-1
"@SouthwestAir #1687 MDW-SAN. Like most flights, if I'm watching free TV it works but won't hardly access any websites - including your own.",negative,0.6611,md san like flight watching free to work hardly access webster including,-1
"@SouthwestAir kids on a mission trip from Lasalle stranded in orlando area,  they can't get back to Bos or PVD till WEDNESDAY?",neutral,0.6404,kid mission trip salle strange orlando area get back boy pad till wednesday,0
@SouthwestAir Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/v4ZVUGMkJw,neutral,1.0,pus help baby hannah get life saving surgery requires need help pus donate it,0
@SouthwestAir almost at the gate for 1156 to SF. Please wait 60 more seconds.,negative,0.6744,almost gate of please wait second,-1
"@SouthwestAir RT @kkwhb: Paid for early bird boarding and got B46.  I said to lady, ""well, that system is about dead."" She didn't understand",negative,1.0,it paid early bird boarding got b said lady well system dead understand,-1
@SouthwestAir All flights are booked . They are saying I have to wait until tomorrow.,negative,1.0,flight booked saying wait tomorrow,-1
@SouthwestAir arrangements to reimburse me for the rental I had to get?,neutral,0.6932,arrangement reimbursed rental get,0
@SouthwestAir Me on one of your planes!!! Thanks for taking me Arizona 184! http://t.co/Finq5Fh6ue,positive,1.0,one plane thanks taking arizona,1
@SouthwestAir Gate agent gave me wrong departure info and caused me to miss my flight and now I am on stand by! #NotHappy,negative,1.0,gate agent gave wrong departure into caused miss flight stand nothappy,-1
@SouthwestAir   Thanks,positive,0.6920000000000001,thanks,1
"@SouthwestAir my bag was lost, and according to the rep they don't even know where it is, Please help.",negative,1.0,bag lost according rep even know please help,-1
@SouthwestAir have sent you a DM with the details. Thanks!,positive,0.6923,sent do detail thanks,1
@SouthwestAir thank you for the confirmation. Maybe people on my flight have directional dislexia.,positive,0.6694,thank confirmation maybe people flight direction dislexia,1
"@SouthwestAir got an email confirmation of wifi purchase on a recent flight. Trouble is, I've never flown with you. Ever. #concerned #scam?",neutral,0.7013,got email confirmation wife purchase recent flight trouble never flown ever concerned scar,0
@SouthwestAir - really?  All other carriers are staffed and you've got a triple looped one and no employees in sight in OKC,negative,1.0,really carrier stuffed got triple looked one employee sight oka,-1
@SouthwestAir Flight 3744 (N284WN) departs @FlyTPA enroute to @PHXSkyHarbor http://t.co/Bd5tvr3Gcy,neutral,1.0,flight n in depart route,0
"@SouthwestAir thank you for Cancelled Flighting my flight, last minute of course, to #GIS2015. I'm now missing one full day of my trip thanks to this!",negative,1.0,thank canceled fighting flight last minute course i missing one full day trip thanks,-1
@SouthwestAir   Are flights going into Dallas this morning?   Thanks,neutral,1.0,flight going dallas morning thanks,0
@SouthwestAir you got me home over an hour and a half Late Flight but at least my baggage was delivered soaking wet,negative,1.0,got home hour half late flight least baggage delivered soaking wet,-1
@SouthwestAir had to be stuck in the middle seat :( http://t.co/dzeGAPfqw1,neutral,0.6687,stuck middle seat,0
"@SouthwestAir #DestinationDragons @Imaginedragons Scavenger Hunt Vegas, BE READY!!! http://t.co/vHgkiTzSaw",neutral,0.6922,destinationdragons scavenger hunt vera ready,0
@SouthwestAir you know what'd be beyond awesome? A pair of tickets to the @Imaginedragons show in ATL. A girl can dream #DestinationDragons,positive,0.6651,know beyond awesome pair ticket show at girl dream destinationdragons,1
@SouthwestAir yes I was everything worked out great,positive,1.0,yes everything worked great,1
@SouthwestAir show me some love and a companion flight~please and thank you!,positive,0.6779999999999999,show love companion flight please thank,1
"@SouthwestAir Cancelled Flightled my flight, rescheduled to EWK gave me a pseudo-voucher that directed me to the worst @daysinn in existence. #fail",negative,1.0,canceled lighted flight rescheduled we gave pseudo voucher directed worst existence fail,-1
@SouthwestAir loved it!,positive,1.0,loved,1
@SouthwestAir needs to train their employees to be at lease somewhat empathetic when THEY lose our luggage.  Monika at MWA needs a PR lesson,negative,1.0,need train employee lease somewhat sympathetic lose luggage monica ma need or lesson,-1
"@SouthwestAir I am in, let's do this!",neutral,0.6489,let,0
@SouthwestAir You completely let me down tonight. Your gate agents' ambivalence is just too much. How sad for you (&amp; me.),negative,1.0,completely let tonight gate agent ambivalence much sad amp,-1
@SouthwestAir you're my early frontrunner for best airline! #oscars2016,positive,1.0,early frontrunner best airline oscar,1
"@southwestair,  kudos to your rep ""Patricia"" at gate B11 this Sunday morning at #Chicago #Midway #MDW,… http://t.co/MmCWkqp2gy",neutral,0.6461,buds rep patrick gate b sunday morning chicago midway md,0
@SouthwestAir flight Cancelled Flightled. new flight 7 hours Late Flightr. will sleep in airport tonight. and cant even give me an A Boarding Group seat. thx,negative,1.0,flight canceled lighted new flight hour late flight sleep airport tonight can even give boarding group seat the,-1
"@SouthwestAir Just reading your boarding policy, we're a group of 8 travellers with kids ranging from 3-10, is it possible to sit together?",neutral,1.0,reading boarding policy group traveller kid ranging possible sit together,0
"@SouthwestAir you're right, I do. I've been traveling all day and you guys dropped the ball. Making for a long night.",negative,1.0,right traveling day guy dropped ball making long night,-1
@SouthwestAir @jparkermastin  customer service has been very passive in their response. Disappointed. I have only flown SW but am rethinking,negative,1.0,customer service passive response disappointed flown s thinking,-1
@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,negative,1.0,broke strolled wife baby gate checked told problem calling list preferred line,-1
@SouthwestAir is this a joke? My return flight is delayed too! 3 in a row! New record from you guys 💔😪,negative,1.0,joke return flight delayed row new record guy,-1
@SouthwestAir nbd I was able to figure out a workaround. Just wanted to help. Got my bags less than 24 hours Late Flightr. Muchas grassy ass.,negative,0.6535,nod able figure workaround wanted help got bag less hour late flight much grassy as,-1
@SouthwestAir luggage delivery between 1-4am? Really? After I was told by midnight multiple times? Why lie? Crazy and bad business.,negative,1.0,luggage delivery really told midnight multiple time lie crazy bad business,-1
.@SouthwestAir Thx for the follow up. Just sent DM,positive,0.7066,the follow sent do,1
@SouthwestAir now I don't get the common courtesy of my phone call answered. Either policy is bad or people should be fired. #dissaponted,negative,1.0,get common courtesy phone call answered either policy bad people fired dissaponted,-1
@SouthwestAir TY for your consideration!,positive,0.6549,ty consideration,1
@SouthwestAir apologies are whatever. Please just deliver the bags like you said you would. Feel like employees are lying to me.,negative,1.0,apology whatever please deliver bag like said would feel like employee lying,-1
@SouthwestAir what robot is running this account. The same one that doesn't remember anything they ask. Same conversation over and over.,negative,1.0,root running account one remember anything ask conversation,-1
"@SouthwestAir It was never really ""lost"" it was put on another flight WITH my knowledge we just weren't sure what flight but I have it - TY!",negative,0.6685,never really lost put another flight knowledge sure flight ty,-1
"@SouthwestAir crew of WN3946 SAN-SFO was brilliant! Rita was hilarious. I know I've been down on you before, but this was a great flight",positive,1.0,crew in san so brilliant rite hilarious know great flight,1
@SouthwestAir is not being responding to the @SpecialOlympics athletes.  #notcool #Southwest,negative,1.0,responding athlete notcool southwest,-1
"@SouthwestAir   A whole family, with a special Olympic athlete here, and you can't even call them? 617-653-3040",negative,1.0,whole family special olympic athlete even call,-1
@SouthwestAir would really like my baggage from yesterday. Employees at Akron giving me a tough time.,negative,1.0,would really like baggage yesterday employee akron giving tough time,-1
@SouthwestAir thanks! Very excited to see it :D,positive,1.0,thanks excited see,1
".@SouthwestAir glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service",negative,1.0,glad appreciate last dollar ever get thanks wretched customer service,-1
@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,negative,1.0,waited min baggage md it me flight service suspended drink,-1
"@southwestair yeah, 7am flight tomorrow, going to add 60-90 min extra because of the roads / snow",neutral,0.7028,yeah flight tomorrow going add min extra road snow,0
@SouthwestAir Thanks for helping my mom after @allegiantair wouldn't let her get on her plane in Orlando! You're the best! #customerservice,positive,1.0,thanks helping mon let get plane orlando best customerservice,1
@SouthwestAir me again! I was just trying to rebook fare on wanna get away pricing and it disappeared in time I refreshed. Is this normal?,negative,0.6566,trying ebook fare wan na get away pricking disappeared time refreshed normal,-1
@SouthwestAir I know that not everybody on flight can be 1st time flying. But in case it is people in front deplane 1st not from the back?!?,neutral,1.0,know everybody flight st time flying case people front decline st back,0
@SouthwestAir may I have my Companion pass please.,neutral,1.0,may companion pas please,0
"@SouthwestAir kudos to the crew of flight 1050 to GRR for making a very special memory for a sweet young passenger, and her Momma. Well done",positive,1.0,buds crew flight grm making special memory sweet young passenger mamma well done,1
@SouthwestAir All good... beers and #oscars2015 ar #DIA,positive,1.0,good beer oscar ar did,1
"@SouthwestAir yes, please #companionpass",neutral,0.633,yes please companionpass,0
@SouthwestAir @fly2midway 45 minute wait for my bags. Just what I needed on a Sunday night.,negative,1.0,minute wait bag needed sunday night,-1
@SouthwestAir luv my companion pass!,positive,1.0,lui companion pas,1
@southwestair Winter Weather for Denver extended for tomorrow by chance? Even to Late Flightr in the day would be super helpful.,neutral,1.0,winter weather denver extended tomorrow chance even late flight day would super helpful,0
@SouthwestAir it's ok I was supposed to be in California 5hrs ago,negative,1.0,ok supposed california he ago,-1
"@SouthwestAir I need to Cancelled Flight one leg of a flight, but can't seem to do this online. Been on hold on the phone for 10 minutes. Any help?",negative,1.0,need canceled flight one leg flight seem online hold phone minute help,-1
@SouthwestAir A-list preferred. DEN-DAL flight Cancelled Flightled 30 min prior to boarding. Best option was Tue afternoon. Seriously?!? Epic fail.,negative,1.0,list preferred den day flight canceled lighted min prior boarding best option the afternoon seriously epic fail,-1
"@SouthwestAir I understand. But it's consistent, and been consistent for years. It's known around the country.",negative,0.7040000000000001,understand consistent consistent year known around country,-1
@SouthwestAir thank you!!,positive,1.0,thank,1
@SouthwestAir been dealing with multiple offices for the last 3 days. Youve completely lost me as a customer unless my bag is back to me.,negative,0.6452,dealing multiple office last day you completely lost customer unless bag back,-1
@SouthwestAir i got the call from RDU that my baggage is there except that doesn't help me bc i can't get it until I'm flying back home.,negative,1.0,got call du baggage except help bc get flying back home,-1
@SouthwestAir how do I get a companion pass,neutral,1.0,get companion pas,0
@SouthwestAir especially if it's your mom! #IChangedYourDiaper,neutral,0.6549,especially mon ichangedyourdiaper,0
@SouthwestAir @MegElizabeth631 how you like the #redcarpet treatment,neutral,1.0,like redcarpet treatment,0
"@SouthwestAir For example, can't pay 4 hotel &amp; food? Or transport to alternate city we are flying from? Or give clear record of alt flight?",negative,1.0,example pay hotel amp food transport alternate city flying give clear record at flight,-1
@SouthwestAir I'm flying out of CUN tomorrow To DEN - can I change my flight due to the travel advisory??,neutral,1.0,flying can tomorrow den change flight due travel advisory,0
@SouthwestAir Tough I can take. Zero meaningful assistance while stranded for 2 days is another matter. Looking for signs you care abt cust.,negative,1.0,tough take zero meaningful assistance strange day another matter looking sign care at must,-1
@SouthwestAir Don't apologize. Do something about it. Words mean nothing. Actions work. EOM.,negative,1.0,apologize something word mean nothing action work em,-1
@SouthwestAir after an hour and a half then it came back damaged. Not happy 😣,negative,1.0,hour half came back damaged happy,-1
@SouthwestAir how long does it take for my Rapid Rewards points to be credited to my account?,neutral,1.0,long take rapid reward point created account,0
@SouthwestAir why does the customer service have rather inconsistent information,negative,1.0,customer service rather inconsistent information,-1
@SouthwestAir we're pulling off the runway now! Making new friends with seat mates. Thanks for the response CB.,positive,0.7158,pulling runaway making new friend seat mate thanks response c,1
@SouthwestAir but to make us tru to find space in other flights.  This customer service is as bad as @SpiritAirlines.,negative,1.0,make u true find space flight customer service bad,-1
@SouthwestAir no delay. I pay $777.70 for BS A1 ticket. You boarded flight early. I'm last to board. Now have middle seat. Wasted $$$$!,negative,1.0,delay pay b ticket boarded flight early last board middle seat wasted,-1
"@SouthwestAir first you had a good idea thatthis would happen and did not Cancelled Flight it earlier, then very amateurish that there was no plan.",negative,1.0,first good idea thatthis would happen canceled flight earlier amateurish plan,-1
@SouthwestAir very disappointed in your handling of tonight's Cancelled Flighted Dallas flight.  Not that it was Cancelled Flighted but no contingencies.,negative,1.0,disappointed handling tonight canceled lighted dallas flight canceled lighted contingent,-1
@SouthwestAir it's ok! Southwest is still the best airline around! Just hate when baggage room runs out.. My now checked bag has headphones!,positive,1.0,ok southwest still best airline around hate baggage room run checked bag headphone,1
@SouthwestAir please start flying to Huntsville so I never have to fly American Airlines again,negative,0.6555,please start flying huntsville never fly american airline,-1
@SouthwestAir Flight 3267 (N659SW) arrives at @FlyTPA following flight from @MitchellAirport http://t.co/LJ2YdKoR8q,neutral,1.0,flight n s arrives following flight,0
"@SouthwestAir no you are not, you just care about mighty dollar.",negative,1.0,care mighty dollar,-1
@SouthwestAir I have a child traveling cross country...she's 11 will be turning 12 in march...and (cont) http://t.co/Enh1keUUTd,neutral,0.6056,child traveling cross country turning march count,0
@SouthwestAir  how do you get one?,neutral,1.0,get one,0
@SouthwestAir retiring with my hubby and it's our 25th wedding anniversary this year! Companion pass please!!,neutral,0.7132,retiring hobby th wedding anniversary year companion pas please,0
"@SouthwestAir beautiful view flying into San Jose, CA this evening http://t.co/SxVaGbRTlI",positive,0.6536,beautiful view flying san jose ca evening,1
@SouthwestAir Thank you SWA and Shannon G. @LASairport (C22) for being a miracle worker! #awesome,positive,1.0,thank saw cannon g c miracle worker awesome,1
"But expect no help from -&gt;@SouthwestAir &lt;-.  Our flt was canx at the last minute for ""weather.""  We flew home on weatherless @united.",negative,1.0,expect help it it felt can last minute weather flew home fatherless,-1
@SouthwestAir want go from New Orleans houston see my dad at md anderson can you help me out,neutral,1.0,want go new orleans houston see dad md anderson help,0
@SouthwestAir yes please,positive,0.6667,yes please,1
@SouthwestAir I changed my flight through St. Louis. Thanks for the reply though!,positive,1.0,changed flight st louis thanks reply though,1
@SouthwestAir flying by myself is getting old,neutral,0.6732,flying getting old,0
@SouthwestAir really shouldn't offer sweeps if your link isn't going to work! B http://t.co/nOfG0TQHYN,negative,1.0,really offer sweep link going work b,-1
@SouthwestAir Have had a companion pass for a few years and my wife and I use it all the time.  Thanks #southwest for making travel easy!,positive,1.0,companion pas year wife use time thanks southwest making travel easy,1
"@SouthwestAir Why can we no longer change trips with a companion online? Been doing it for years, now get message can't be done online?",negative,1.0,longer change trip companion online year get message done online,-1
@SouthwestAir WIFI is so slow it totally precludes working on the web. Will NOT book SWA for business travel. Wish I hadn't lit $24 on fire,negative,1.0,wife slow totally preclude working web book saw business travel wish lit fire,-1
@SouthwestAir yes please.my son lives in NJ.,neutral,1.0,yes please son life no,0
@SouthwestAir companion pass please!,neutral,0.6314,companion pas please,0
@SouthwestAir constantly providing wonderful views and service! #SouthwestLuv http://t.co/9UNxqOTzIK,positive,1.0,constantly providing wonderful view service southwestluv,1
"@SouthwestAir everyone deserves red carpet tx until they destroy your luggage &amp;only give you $75 voucher, like I want to fly w/them again!",negative,1.0,everyone deserves red carpet to destroy luggage amp give voucher like want fly w,-1
@SouthwestAir staff was overall awful through multiple airports would have switched airlines if another flight was available,negative,1.0,staff overall awful multiple airport would switched airline another flight available,-1
@SouthwestAir lol I already am ! I am a card member as well too lol i enjoy flying with you Guys,positive,1.0,ll already card member well ll enjoy flying guy,1
@SouthwestAir.   50th Anniversary on April 10th. Still. Sweethearts.  Companions.  Lifetime.  Sons.  Families. Love.,positive,0.6626,th anniversary april th still sweetheart companion lifetime son family love,1
".@SouthwestAir Well, we all need something to aim for.",neutral,0.6801,well need something aim,0
@SouthwestAir YES please....How do we get that companion pass?,positive,1.0,yes please get companion pas,1
@southwestair on flight 3130 and I paid $8 for wifi that can't load a website functionally except for your own live streaming. Unacceptable.,negative,1.0,flight paid wife load webster functional except live streaming unacceptable,-1
@SouthwestAir gimme,neutral,1.0,him,0
@SouthwestAir flights still going to DAL?,neutral,0.6364,flight still going day,0
@SouthwestAir You've inspired me to start my own airline to combat your weak ass airline. sick of this shit,negative,1.0,inspired start airline combat weak as airline sick shit,-1
@SouthwestAir is service to Aruba being permanently discontinued in August?,neutral,0.7008,service area permanently discontinued august,0
@SouthwestAir yes please!,positive,0.6349,yes please,1
@SouthwestAir I miss mine terribly. A +1 for my 30th anniversary would be amazing. It would mean LUV is in the air. #dontmakemebeg,positive,1.0,miss mine terribly th anniversary would amazing would mean lui air dontmakemebeg,1
@SouthwestAir I (heart) my CP status. Sure would be nice to have though.,positive,0.6559,heart up status sure would nice though,1
@SouthwestAir #RedCarpet Southwest Companion Pass would be great!,positive,0.667,redcarpet southwest companion pas would great,1
@SouthwestAir I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend 😬,neutral,1.0,would love great deal i la memorial day weekend ak day weekend,0
@SouthwestAir I want one!,positive,0.6779999999999999,want one,1
@SouthwestAir everyones flights who were Cancelled Flightled today DESERVE 1,negative,0.6629999999999999,everyone flight canceled lighted today deserve,-1
“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,positive,0.6459999999999999,companion pas everyone deserves redcarpet treatment even mon,1
@SouthwestAir sign me up!,positive,0.6709,sign,1
@SouthwestAir I would love a +1 #RedCarpet  treatment,neutral,1.0,would love redcarpet treatment,0
@SouthwestAir how do I get my companion pass?,neutral,1.0,get companion pas,0
@SouthwestAir Tell me the secrets to flying high #RedCarpet,neutral,1.0,tell secret flying high redcarpet,0
@SouthwestAir That would be brighter than all the stars combined on the red carpet tonight!,positive,0.6596,would brighter star combined red carpet tonight,1
@SouthwestAir How about auto check in for CP holders? Come on.,negative,0.6659999999999999,auto check up holder come,-1
@SouthwestAir got mine!  Just in time for the wife and my 15th anniversary!,positive,1.0,got mine time wife th anniversary,1
@SouthwestAir I love my Companion Pass (qualified 4th year).  #HollyMais,positive,1.0,love companion pas qualified th year hollymais,1
@SouthwestAir where is mines?,neutral,0.6548,mine,0
@SouthwestAir I continue to be amazed by the amazing customer service.  Thank you SWA!,positive,1.0,continue amazed amazing customer service thank saw,1
@SouthwestAir ...and how does one obtain this companion pass?,neutral,1.0,one obtain companion pas,0
"@SouthwestAir Yes, please.",positive,0.6535,yes please,1
@SouthwestAir https://t.co/OQUKSo3s2O subscribe please https://t.co/OQUKSo3s2O,neutral,1.0,subscribe please,0
@SouthwestAir sign me up!,positive,1.0,sign,1
@SouthwestAir just got mine..now where to go??,positive,0.6633,got mine go,1
@SouthwestAir wifi is the worst $8 investment I have ever made.,negative,1.0,wife worst investment ever made,-1
@SouthwestAir Can I get any help with Cancelled Flighting my flight reservation?,neutral,1.0,get help canceled fighting flight reservation,0
@SouthwestAir sitting in Newark because flight 4179 was Cancelled Flightled for no apparent reason.  All I was told was sorry after 2.5 hrs waiting,negative,1.0,sitting newark flight canceled lighted apparent reason told sorry he waiting,-1
@SouthwestAir I have followed you. Awaiting your DM.,neutral,0.6926,followed awaiting do,0
"@SouthwestAir -U dont have Atlanta to San fransisco in 99$ in the present sale, like u had in the last sale?Im looking for 2 return tickets",neutral,0.7067,u dont atlanta san francisco present sale like u last sale in looking return ticket,0
@SouthwestAir couldn't be bothered to help with my lost my luggage. Not a single helpful employee owner to be found in BWI.,negative,1.0,gathered help lost luggage single helpful employee owner found i,-1
@SouthwestAir Seriously? FOUR DELAYS? Only takes 42 minutes to get to Vegas from @flyLAXairport &amp; I have a connecting flight. #ridiculous,negative,1.0,seriously four delay take minute get vera amp connecting flight ridiculous,-1
"@SouthwestAir should get their shit together before they owe my $2,000 for my bag.",negative,1.0,get shit together owe bag,-1
@SouthwestAir I requested my boarding pass to be texted to me but I still haven't received it.,negative,1.0,requested boarding pas tested still received,-1
@SouthwestAir I gave you one more try. Figured you could get a 1 hr flight right. Nope. Delayed an hr. Seems to be every time.,negative,1.0,gave one try figured could get he flight right hope delayed he seems every time,-1
